key,en,fr,de,nl
FRONT_END.VALUE.DOCUMENT_TYPE.DESCRIPTIONS.LM_DECLARATION_INHERITANCE,"Please provide us with proof of the economic origin of the funds. As proof, we expect this type of document (duly signed document + indication of the amount): <ul><li>Deed of Succession showing the amount allocated to the client</li><li>Notarised will with indication of the amount allocated to the client</li><li>Cerfa 2705 stamped by the tax authorities or accompanied by the acknowledgement of receipt of the e-mail</li></ul>","Comme justificatif, nous attendons par exemple ce type de document (document dûment signé+indication du montant):<ul><li>Acte de succession reprenant le montant attribué au client</li><li>Testament visé par le notaire avec mention du montant attribué au client</li><li>Cerfa 2705 estampillé par l'administration fiscale ou accompagné de l’accusé de réception du mail</li></ul>","Bitte legen Sie uns einen Nachweis über die wirtschaftliche Herkunft der Gelder vor. Als Nachweis erwarten wir diese Art von Dokument (ordnungsgemäß unterzeichnetes Dokument + Angabe des Betrages): <ul><li>Erbvertrag, aus dem der dem Kunden zugewiesene Betrag hervorgeht</li><li>Notarielles Testament mit Angabe des dem Kunden zugewiesenen Betrages</li><li>Cerfa 2705-Formular mit Stempel der Steuerbehörde oder mit der Empfangsbestätigung der E-Mail</li></ul>",Gelieve ons een bewijs te bezorgen van de economische origine van de fondsen. Als bewijs verwachten wij dit type van document (Geldig getekend + indicatie van het bedrag): ul><li>Akte van erfopvolging met het toegewezen bedrag aan de klant</li><li>Genotariseerd testament met het toegewezen bedrag aan de klant</li><li>Cerfa 2705 bestempeld door de belastingsinstanties of door een erkenning van een ontvangstbevestiging per mail</li></ul>
FRONT_END.VALUE.DOCUMENT_TYPE.DESCRIPTIONS.LM_DEED_OF_GIFT,"Please provide us with proof of the economic origin of the funds. As proof, we expect this type of document (duly signed document + indication of the amount):<ul><li>Notarised deed of gift</li><li>In France, the declaration form for manual donations (Cerfa 2735 stamped by the tax authorities or accompanied by the acknowledgement of receipt of the email)</li></ul>","Comme justificatif, nous attendons par exemple ce type de document (document dûment signé+indication du montant):<ul><li>Acte de donation notarié</li><li>En France, Formulaire de déclaration de dons manuels (Cerfa 2735 estampillé par l'administration fiscale ou accompagné de l’accusé de réception du mail)</li></ul>",Bitte legen Sie uns einen Nachweis über die wirtschaftliche Herkunft der Gelder vor. Als Nachweis erwarten wir diese Art von Dokument (ordnungsgemäß unterzeichnetes Dokument + Angabe des Betrags):<ul><li>Notariell beglaubigte Schenkungsurkunde</li><li>In Frankreich das Erklärungsformular für manuelle Spenden (Cerfa 2735 mit Stempel der Steuerbehörde oder mit der Empfangsbestätigung der E-Mail)</li></ul>,Gelieve ons een bewijs te bezorgen van de economische origine van de fondsen. Als bewijs verwachten wij dit type van document (Geldig getekend + indicatie van het bedrag): ul><li>Schenkingsakte</li><li>In Frankrijk het verklaringsformulier van manuele schenking (Cerfa 2735 bestempeld door de belastingsinstanties of door een erkenning van een ontvangstbevestiging per mail)</li></ul>
FRONT_END.VALUE.DOCUMENT_TYPE.DESCRIPTIONS.FATCA_FOREIGN_STATUS_OF_BENEFICIAL_OWNER,"Add the document 'FATCA - Certificate of Foreign Status of Beneficial Owner for United States Tax Withholding and Reporting (form W-8ben)'. The document can be downloaded <a href=""http://www.irs.gov/pub/irs-pdf/fw8ben.pdf"" target=""_blank"">here</a>.<br><br>You already have the FATCA form completed and signed on your computer, please attach this document by clicking on <b>'Add '</b>.<br><br>You do not have the completed electronic form? Please follow the steps below: <ul><li>download the form corresponding to your situation</li><li>print the document and complete it</li><li>scan the document and save it on your computer</li><li>click on <b>'Add'</b></li></ul>","Ajouter le formulaire 'FATCA - Certificate of Foreign Status of Beneficial Owner for United States Tax Withholding and Reporting (form W-8ben)'. Vous trouverez le formulaire <a href=""http://www.irs.gov/pub/irs-pdf/fw8ben.pdf"" target=""_blank"">ici</a>.<br/><br/>Vous disposez déjà du formulaire Fatca rempli et signé sur votre ordinateur, merci de joindre ce document en cliquant sur <b>‘Ajouter’</b>.<br/><br/>Vous ne disposez pas du formulaire rempli en version électronique. Merci alors de suivre les démarches suivantes : <ul><li>téléchargez le formulaire correspondant à votre situation</li><li>imprimez le document et remplissez le</li><li>ensuite scannez le document et enregistrez le sur votre ordinateur</li><li>cliquez sur <b>‘Ajouter’</b></li><ul>","Fügen Sie das folgende Dokument hinzu: 'FATCA – Bescheinigung über den Ausländerstatus des wirtschaftlich Berechtigten für die US-Quellsteuer und zum Zwecke der Meldung (Formular W-8ben) (Certificate of Foreign Status of Beneficial Owner for United States Tax Withholding and Reporting)'. Das Dokument kann <a href=""http://www.irs.gov/pub/irs-pdf/fw8ben.pdf"" target=""_blank"">hier</a> heruntergeladen werden.<br/><br/>Sie haben das FATCA-Formular bereits unterschrieben auf Ihrem Computer? Dann fügen Sie das Dokument hinzu, indem Sie auf <b>'Hinzufügen'</b> klicken.<br/><br/>Sie haben nicht das vervollständigte elektronische Formular? Bitte führen Sie die unten beschriebenen Schritte durch: <ul><li>laden Sie das zu Ihrer Situation passende Formular herunter</li><li>drucken Sie das Dokument aus und vervollständigen Sie es</li><li>scannen Sie es ein und speichern es auf Ihrem Computer</li><li>klicken Sie dann auf <b>'Hinzufügen'</b></li></ul>","Voeg het document 'FATCA - Certificate of Foreign Status of Beneficial Owner for United States Tax Withholding and Reporting (form W-8ben)' toe. Dit document is <a href=""http://www.irs.gov/pub/irs-pdf/fw8ben.pdf"" target=""_blank"">hier</a> beschikbaar.<br><br>Je hebt reeds het FATCA formulier ingevuld en getekend op jouw computer staan, gelieve deze op te laden door te klikken op <b>‘Toevoegen’</b>.<br><br>Je hebt het elektronische formulier niet ingevuld? Gelieve volgende stappen te volgen: <ul><li>download het formulier dat overéénkomt met jouw situatie</li><li>druk het document af en vervolledig het</li><li>scan het document en bewaar het op jouw computer</li><li>klik op <b>‘Toevoegen’</b></li></ul>"
FRONT_END.VALUE.DOCUMENT_TYPE.DESCRIPTIONS.FATCA_LOSS_OF_NATIONALITY,"Add the document 'FATCA - The Certificate of Loss of Nationality of the United States (form DS-4083)'. The form can be downloaded <a href=""https://eforms.state.gov/Forms/ds4083.pdf"" target=""_blank"">here</a>.<br><br>You already have the FATCA form completed and signed on your computer, please attach this document by clicking on <b>'Add'</b>.<br><br>You do not have the completed electronic form? Please follow the steps below: <ul><li>download the form corresponding to your situation</li><li>print the document and complete it</li><li>scan the document and save it on your computer</li><li>click on <b>'Add'</b></li></ul>","Ajouter le formulaire 'FATCA - The Certificate of Loss of Nationality of the United States (form DS-4083)'. Vous trouverez le formulaire <a href=""https://eforms.state.gov/Forms/ds4083.pdf"" target=""_blank"">ici</a>.<br/><br/>Vous disposez déjà du formulaire Fatca rempli et signé sur votre ordinateur, merci de joindre ce document en cliquant sur <b>‘Ajouter’</b>.<br/><br/>Vous ne disposez pas du formulaire rempli en version électronique. Merci alors de suivre les démarches suivantes : <ul><li>téléchargez le formulaire correspondant à votre situation</li><li>imprimez le document et remplissez le</li><li>ensuite scannez le document et enregistrez le sur votre ordinateur</li><li>cliquez sur <b>‘Ajouter’</b></li><ul>","Fügen Sie das folgende Dokument hinzu: 'FATCA – Bescheinigung über den Verlust der US-Staatsangehörigkeit (Formular DS-4083) (Certificate of Loss of Nationality of the United States)'. Das Formular kann <a href=""https://eforms.state.gov/Forms/ds4083.pdf"" target=""_blank"">hier</a> heruntergeladen werden.<br/><br/>Sie haben das FATCA-Formular bereits unterschrieben auf Ihrem Computer? Dann fügen Sie das Dokument hinzu, indem Sie auf <b>'Hinzufügen'</b> klicken.<br/><br/>Sie haben nicht das vervollständigte elektronische Formular? Bitte führen Sie die unten beschriebenen Schritte durch: <ul><li>laden Sie das zu Ihrer Situation passende Formular herunter</li><li>drucken Sie das Dokument aus und vervollständigen Sie es</li><li>scannen Sie es ein und speichern es auf Ihrem Computer</li><li>klicken Sie dann auf <b>'Hinzufügen'</b></li></ul>","Voeg het document 'FATCA - The Certificate of Loss of Nationality of the United States (form DS-4083) toe. Dit document is <a href=""https://eforms.state.gov/Forms/ds4083.pdf"" target=""_blank"">hier</a> beschikbaar.<br><br>Je hebt reeds het FATCA formulier ingevuld en getekend op jouw computer staan, gelieve deze op te laden door te klikken op <b>‘Toevoegen’</b>.<br><br>Je hebt het elektronische formulier niet ingevuld? Gelieve volgende stappen te volgen: <ul><li>download het formulier dat overéénkomt met jouw situatie</li><li>druk het document af en vervolledig het</li><li>scan het document en bewaar het op jouw computer</li><li>klik op <b>‘Toevoegen’</b></li></ul>"
FRONT_END.VALUE.DOCUMENT_TYPE.DESCRIPTIONS.FATCA_REQUEST_TIN,"Add the document 'FATCA - Request for Taxpayer Identification Number and Certification (form W-9)'. The form can be downloaded <a href=""http://www.irs.gov/pub/irs-pdf/fw9.pdf"" target=""_blank"">here</a>.<br><br>You already have the FATCA form completed and signed on your computer, please attach this document by clicking on <b>'Add'</b>.<br><br>You do not have the completed electronic form? Please follow the steps below: <ul><li>download the form corresponding to your situation</li><li>print the document and complete it</li><li>scan the document and save it on your computer</li><li>click on <b>'Add'</b></li></ul>","Ajouter le formulaire 'FATCA - Request for Taxpayer Identification Number and Certification (form W-9)'. Vous trouverez le formulaire <a href=""http://www.irs.gov/pub/irs-pdf/fw9.pdf"" target=""_blank"">ici</a>.<br/><br/>Vous disposez déjà du formulaire Fatca rempli et signé sur votre ordinateur, merci de joindre ce document en cliquant sur <b>‘Ajouter’</b>.<br/><br/>Vous ne disposez pas du formulaire rempli en version électronique. Merci alors de suivre les démarches suivantes : <ul><li>téléchargez le formulaire correspondant à votre situation</li><li>imprimez le document et remplissez le</li><li>ensuite scannez le document et enregistrez le sur votre ordinateur</li><li>cliquez sur <b>‘Ajouter’</b></li><ul>","Fügen Sie das folgende Dokument hinzu: 'FACTA – Antrag auf Steuerzahler-Identifikationsnummer und Bescheinigung (Formular W-9) (Request for Taxpayer Identification Number and Certification)'. Das Formular kann <a href=""http://www.irs.gov/pub/irs-pdf/fw9.pdf"" target=""_blank"">hier</a> heruntergeladen werden.<br/><br/>Sie haben das FATCA-Formular bereits unterschrieben auf Ihrem Computer? Dann fügen Sie das Dokument hinzu, indem Sie auf <b>'Hinzufügen'</b> klicken.<br/><br/>Sie haben nicht das vervollständigte elektronische Formular? Bitte führen Sie die unten beschriebenen Schritte durch: <ul><li>laden Sie das zu Ihrer Situation passende Formular herunter</li><li>drucken Sie das Dokument aus und vervollständigen Sie es</li><li>scannen Sie es ein und speichern es auf Ihrem Computer</li><li>klicken Sie dann auf <b>'Hinzufügen'</b></li></ul>","Voeg het document 'FATCA - Request for Taxpayer Identification Number and Certification (form W-9) toe. Dit document is <a href=""http://www.irs.gov/pub/irs-pdf/fw9.pdf"" target=""_blank"">hier</a> beschikbaar.<br><br>Je hebt reeds het FATCA formulier ingevuld en getekend op jouw computer staan, gelieve deze op te laden door te klikken op <b>‘Toevoegen’</b>.<br><br>Je hebt het elektronische formulier niet ingevuld? Gelieve volgende stappen te volgen: <ul><li>download het formulier dat overéénkomt met jouw situatie</li><li>druk het document af en vervolledig het</li><li>scan het document en bewaar het op jouw computer</li><li>klik op <b>‘Toevoegen’</b></li></ul>"
FRONT_END.VALUE.DOCUMENT_TYPE.DESCRIPTIONS.LM_PROOF_OF_FUNDS,We expect for example:<ul><li>Supporting documents according to the nature of the funds</li><li>Signed letter from a chartered accountant detailing the income received</li></ul>,Nous attendons par exemple:<ul><li>Documents justificatifs suivant la nature des fonds</li><li>Lettre signée d’un comptable agréé détaillant les revenus perçus</li></ul>,"Wir erwarten zum Beispiel:<ul><li>Belege je nach Art der Gelder</li><li>Unterzeichnetes Schreiben eines Wirtschaftsprüfers, in dem die erhaltenen Einkünfte aufgeführt sind</li></ul>",We verwachten als voorbeeld:<ul><li>Ondersteunende documenten overeenkomend met de aard van de fondsen</li><li>Getekende brief van een registeraccountant over de verworven inkmen in details</li></ul>
FRONT_END.VALUE.DOCUMENT_TYPE.DESCRIPTIONS.LM_PROOF_OF_MARRIAGE,"Please send us a copy of your marriage contract if you have one, or if not, the marriage certificate. This document is necessary if you have a joint account or in the case of a co-subscription.","En cas de co-souscription, merci de nous transmettre une copie de votre contrat de mariage si établi en prévision de vos prochaines opérations sur votre contrat.","Bitte senden Sie uns eine Kopie Ihres Ehevertrags, wenn Sie einen haben, oder wenn nicht, die Heiratsurkunde. Dieses Dokument ist erforderlich, wenn Sie ein gemeinsames Konto haben oder wenn Sie ein gemeinsames Abonnement abschließen.",Gelieve ons een kopie te versturen van jouw huwelijkscontract of huwelijks certificaat. Dit document is noodzakelijk indien jij een gezamelijke rekening hebt of in geval van een co-onderschrijving.
FRONT_END.VALUE.DOCUMENT_TYPE.DESCRIPTIONS.LM_PROOF_OF_RESIDENCE,"Documents that can be used as proof of residence are for example tax documents, bills dated less than 3 months (electricity, water, ...., mobile phone bills are not accepted).","Les documents pouvant être utilisés comme justificatifs sont par exemple les documents fiscaux, les factures datées de moins de 3 mois (électricité, eau,…. les factures de téléphone portable ne sont pas acceptées).","Dokumente, die als Wohnsitznachweis verwendet werden können, sind z. B. Steuerunterlagen, Rechnungen, die weniger als 3 Monate alt sind (Strom-, Wasser-, ...., Handy-Rechnungen werden nicht akzeptiert).","Documenten die als bewijs van woonplaats kunnen dienen zijn bijvoorbeeld belastingdocumenten, rekeningen van minder dan 3 maanden oud (elektriciteits-, water-, ....- en mobiele telefoonrekeningen worden niet aanvaard)."
FRONT_END.VALUE.DOCUMENT_TYPE.DESCRIPTIONS.LM_PROOF_OF_SALE,"Please provide us with proof of the economic origin of the funds. As proof, we expect for example this type of document depending on the nature of the sale (duly signed document with indication of the amount):<ul><li>Copy of the invoice</li><li>Certificate issued by a lawyer indicating the amount and date of the sale</li><li>Notarised deed of sale indicating the date and amount attributed to the client</li><li>Copy of the deed of sale and mention of the investment on a bank statement</li><li>Extracts of media coverage (if any)</li><li>Cerfa form stamped by the tax authorities or accompanied by the acknowledgement of receipt of the email</li><li>Cerfa form related to the transaction duly registered (if required)</li></ul>","Comme justificatif, nous attendons par exemple ce type de document suivant la nature de la vente (document dûment signé avec indication du montant):<ul><li>Copie de la facture</li><li>Attestation émise par un avocat indiquant le montant et la date de la vente</li><li>Acte de vente notarié indiquant la date et le montant attribué au client</li><li>Copie de l’acte de vente et mention du placement sur un relevé bancaire</li><li>Extraits de couverture médiatique (le cas échéant)</li><li>Cerfa form stamped by the tax authorities or accompanied by the acknowledgement of receipt of the email</li><li>Formulaire cerfa estampillé par l'administration fiscale ou accompagné de l’accusé de réception du mail</li><li>Cerfa en relation avec l'opération dûment enregistré (si requis)</li></ul>","Bitte legen Sie uns einen Nachweis über die wirtschaftliche Herkunft der Gelder vor. Als Nachweis erwarten wir zum Beispiel diese Art von Dokument, je nach Art des Verkaufs (ordnungsgemäß unterzeichnetes Dokument mit Angabe des Betrags):<ul><li>Kopie der Rechnung</li><li>Von einem Rechtsanwalt ausgestellte Bescheinigung, aus der der Betrag und das Datum des Verkaufs hervorgehen</li><li>Notariell beglaubigter Kaufvertrag, aus dem das Datum und der dem Kunden zugewiesene Betrag hervorgehen</li><li>Kopie des Kaufvertrags und Angabe der Investition auf einem Kontoauszug</li><li>Auszüge aus der Medienberichterstattung (falls vorhanden)</li><li>Von den Steuerbehörden abgestempeltes Cerfa-Formular oder zusammen mit der Empfangsbestätigung der E-Mail</li><li>Cerfa-Formular als Bestätigung, dass die Transaktion ordnungsgemäß registriert wurde (falls erforderlich)</li></ul>",Gelieve ons een bewijs te bezorgen van de economische origine van de fondsen. Als bewijs verwachten wij dit type van document (Geldig getekend + indicatie van het bedrag):ul><li>Kopie van de factuur</li><li>Certificaat uitegegeven door een advocaat met datum en bedrag van de verkoop</li><li>Genotariseerde verkoopsakte met datum en bedrag toegekend aan de klant</li><li>Kopie van verkoopsakte en een uittreksel van de investering</li><li>Uittreksels van mediaberichten (indien er zijn)</li><li>Cerfa formulier bestempeld door de belastingsinstanties of door een erkenning van een ontvangstbevestiging per mail</li><li>Een geldig getekend Cerfa formulier met betrekking tot the transactie (indien vereist)</li></ul>
FRONT_END.VALUE.DOCUMENT_TYPE.DESCRIPTIONS.LM_PROOF_OF_SAVING,"Please provide us with proof of the economic origin of the funds. As proof of professional savings, we expect this type of document, for example:<ul><li>Copy of the last salary slip</li><li>Recent accounts, if self-employed</li><li>Tax return</li><li>Bank statements showing the deposit of the last regular salary from a named employer</li><li>Certificate of sale of stock options from the employer</li><li>If the savings have been built up mainly as a result of a particular event (donation, inheritance, transfer of business, etc.), please refer to the supporting documents listed in the relevant category</li><li>If the savings were built up mainly through the professional activity of the subscriber, please refer to the relevant category</li></ul>","Comme justificatif d'épargne professionnelle, nous attendons par exemple ce type de document:<ul><li>Copie du dernier bulletin de salaire</li><li>Comptes récents, si travailleur à son compte</li><li>Déclaration d’impôts </li><li>Relevés bancaires indiquant le dépôt du dernier salaire régulier d’un employeur nommément cité</li><li>Attestation de vente de stock options de la part de l’employeur</li><li>Si l’épargne a été constituée principalement suite à un événement particulier (donation, succession, cession d’entreprise, etc.), merci de vous référer aux documents probants listés dans la catégorie concernée</li><li>Si l’épargne a été constituée principalement grâce à l’activité professionnelle du souscripteur, se référer à la catégorie concernée</li></ul>","Bitte legen Sie uns einen Nachweis über die wirtschaftliche Herkunft der Gelder vor. Als Nachweis für berufliche Ersparnisse erwarten wir z. B. diese Art von Dokumenten:<ul><li>Kopie der letzten Gehaltsabrechnung</li><li>Aktuelle Umsatz-/Gewinnzahlen, falls selbständig</li><li>Steuererklärung</li><li>Kontoauszüge, aus denen die Einzahlung des letzten regelmäßigen Gehalts von einem namentlich genannten Arbeitgeber hervorgeht</li><li>Bescheinigung des Arbeitgebers über den Verkauf von Aktienoptionen</li><li>Wenn die Ersparnisse hauptsächlich aufgrund eines bestimmten Ereignisses (Schenkung, Erbschaft, Unternehmensübertragung usw.) gebildet wurden, verweisen wir auf die in der Liste aufgeführten Belege.), verweisen wir auf die in der entsprechenden Kategorie aufgeführten Belege</li><li>Wurden die Ersparnisse hauptsächlich durch die berufliche Tätigkeit des Zeichners gebildet, verweisen wir auf die entsprechende Kategorie</li></ul>","Gelieve ons een bewijs te bezorgen van de economische origine van de fondsen. Als bewijs van professionele spaargeld verwachten wij dit type van document:ul><li>Kopie van laatste loonfiche</li><li>Recente rekeningen, indien zelfstandig</li><li>Aanslagbiljet</li><li>Bankuittreksels van de zichrekening met betrekking tot regelmatige salaris met de naam van de werkgever</li><li>Certificaat verkoop van aandeelopties van de werkgever</li><li>Indien de spaargelden hoofdzakelijk werd opgebouwd van uit een specifiek gebeurtenis (schenking, erfenis, zakelijke overdracht, etc.), gelieve de ondersteunende documenten te verwijzen naar de relevante categorieën</li><li>Indien de spaargelden hoofdzakelijk werd opgebouwd door professionele activiteit van de intekenaar, gelieve te verwijzen naar de relevante categorieën.</li></ul>"
FRONT_END.VALUE.DOCUMENT_TYPE.LM_COPY_PORTFOLIO,Proof of the realization of moveable assets,Preuve de la réalisation d'actifs mobiliers,Beweis für die Verwirklichung beweglicher Vermögenswerte,Bewijs van de realisatie van roerende activa
FRONT_END.VALUE.DOCUMENT_TYPE.LM_DECLARATION_INHERITANCE,Proof of the inheritance,Preuve de l'héritage,Beweis des Erbs,Bewijs van de erfenis
FRONT_END.VALUE.DOCUMENT_TYPE.LM_DEED_OF_GIFT,Proof of the donations/gifts,Preuve des donations,Nachweis der Spenden/Geschenke,Bewijs van schenkingen/giften
FRONT_END.VALUE.DOCUMENT_TYPE.LM_PROOF_OF_FUNDS,Proof of the origin of funds defined in the category 'Other',Justificatif de l'origine des fonds précisés dans la catégorie 'Autres',Beweis für den Ursprung der in der Kategorie 'Anderen' definierten Mittel,Bewijs van de oorsprong van de fondsen uit de categorie 'andere'
FRONT_END.VALUE.DOCUMENT_TYPE.LM_PROOF_OF_MARRIAGE,"Marriage certificate (if not established, copy of the family record book)",Contrat de mariage (à défaut livret de famille),"Heiratsurkunde (wenn nicht festgelegt, Kopie des Familienaufzeichnungsbuchs)","Huwelijksakte (indien niet gedefinieerd, kopie van het familieboekje)"
FRONT_END.VALUE.DOCUMENT_TYPE.LM_PROOF_OF_RESIDENCE,Proof of residence,Justificatif de domicile,Wohnsitznachweis,Bewijs van woonplaats
FRONT_END.VALUE.DOCUMENT_TYPE.LM_PROOF_OF_SALE,Proof of the proceeds of sale,Preuve de la vente,Nachweis des Verkaufserlöses,Bewijs van de verkoopopbrengsten
FRONT_END.VALUE.DOCUMENT_TYPE.LM_PROOF_OF_SAVING,Proof of the funds coming from savings,Preuve de fonds ayant comme origine l'épargne professionnelle,"Beweis für die Mittel, die aus Ersparnissen stammen",Bewijs van de fondsen die voortkomen uit spaargelden
